1,Alabama,AL,1
2,Alaska,AK,1
3,American Samoa,AS,1
4,Arizona,AZ,1
5,Arkansas,AR,1
6,California,CA,1
7,Colorado,CO,1
8,Connecticut,CT,1
9,Delaware,DE,1
10,District Of Columbia,DC,1
11,Federated States Of Micronesia,FM,1
12,Florida,FL,1
13,Georgia,GA,1
14,Guam,GU,1
15,Hawaii,HI,1
16,Idaho,ID,1
17,Illinois,IL,1
18,Indiana,IN,1
19,Iowa,IA,1
20,Kansas,KS,1
21,Kentucky,KY,1
22,Louisiana,LA,1
23,Maine,ME,1
24,Marshall Islands,MH,1
25,Maryland,MD,1
26,Massachusetts,MA,1
27,Michigan,MI,1
28,Minnesota,MN,1
29,Mississippi,MS,1
30,Missouri,MO,1
31,Montana,MT,1
32,Nebraska,NE,1
33,Nevada,NV,1
34,New Hampshire,NH,1
35,New Jersey,NJ,1
36,New Mexico,NM,1
37,New York,NY,1
38,North Carolina,NC,1
39,North Dakota,ND,1
40,Northern Mariana Islands,MP,1
41,Ohio,OH,1
42,Oklahoma,OK,1
43,Oregon,OR,1
44,Palau,PW,1
45,Pennsylvania,PA,1
46,Puerto Rico,PR,1
47,Rhode Island,RI,1
48,South Carolina,SC,1
49,South Dakota,SD,1
50,Tennessee,TN,1
51,Texas,TX,1
52,Utah,UT,1
53,Vermont,VT,1
54,Virgin Islands,VI,1
55,Virginia,VA,1
56,Washington,WA,1
57,West Virginia,WV,1
58,Wisconsin,WI,1
59,Wyoming,WY,1
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
