1	00:04:08.455	00:04:10.256	BED, JOHN.
2	00:04:12.976	00:04:15.311	YOU DO UNDERSTAND, MR. HAMILTON, ,
3	00:04:15.313	00:04:18.180	THAT AS PRESIDENT, I HAVE THE AUTHORITY
4	00:04:18.182	00:04:20.099	TO DECIDE ON JUNIOR OFFICERS.
5	00:04:23.754	00:04:26.589	WITHOUT QUESTION, SIR.
6	00:04:26.591	00:04:29.325	BUT GENERAL WASHINGTON...
7	00:04:29.327	00:04:31.628	WILL ONLY ACCEPT HIS CHARGE,
8	00:04:31.630	00:04:35.080	ON THE CONDITION THAT I SERVE AS HIS SECOND IN COMMAND.
9	00:04:37.334	00:04:39.368	NATURALLY, YOU MAY DECLINE
10	00:04:39.370	00:04:41.371	TO ACCEPT THE ARRANGEMENT.
11	00:04:46.844	00:04:49.112	OF COURSE NOT, MR. HAMILTON. OF COURSE NOT.
12	00:04:51.448	00:04:54.517	IT IS SOMEWHAT IRREGULAR,
13	00:04:54.519	00:04:56.986	BUT...
14	00:04:56.988	00:04:59.856	I WOULD NEVER COUNTERMAND HIS WISHES, SIR.
15	00:04:59.858	00:05:02.491	IF I MAY, SIR.
16	00:05:04.428	00:05:07.630	A COMPANY WILL BE SUBDIVIDED INTO TWO PLATOONS,
17	00:05:07.632	00:05:09.365	A PLATOON INTO TWO SECTIONS,
18	00:05:09.367	00:05:10.833	A SECTION INTO TWO SQUADS.
19	00:05:10.835	00:05:14.654	A SQUAD WILL CONSIST OF FOUR FILES OF THREE, OR TWO FILES OF
20	00:05:14.656	00:05:16.355	PERHAPS LATER, MR. HAMILTON.
21	00:05:16.357	00:05:18.490	WE ARE REMOVING OURSELVES TO PEACEFIELD,
22	00:05:18.492	00:05:21.644	TO AVOID THE YELLOW FEVER BEFORE IT STRIKES.
23	00:05:21.646	00:05:23.713	YOU MIGHT WANT TO LEAVE THE CITY YOURSELF, SIR.
24	00:05:23.715	00:05:26.749	FOR GENERAL WASHINGTON, I SUGGEST THIS:
25	00:05:28.185	00:05:31.203	A BLUE COAT WITHOUT LAPELS,
26	00:05:31.205	00:05:33.890	YELLOW BUTTONS AND DOUBLEBULLION TAG WITH FRINGE,
27	00:05:33.892	00:05:36.225	EACH WITH THREE STARS.
28	00:05:37.311	00:05:40.029	OBVIOUSLY, COLLAR CUFFS, ,
29	00:05:40.031	00:05:42.799	AND POCKET FLAPS WILL BE DOUBLEEMBROIDERED,
30	00:05:42.801	00:05:44.701	AS WILL THE BUTTONHOLES.
31	00:05:44.703	00:05:46.485	YES, BUT OF COURSE IT IS A MATTER
32	00:05:46.487	00:05:50.222	OF HOW THE ARMY IS TO BE USED, MR. HAMILTON, ,
33	00:05:50.224	00:05:51.641	IS IT NOT?,
34	00:05:53.627	00:05:55.762	TO WHAT END, YOU SEE.
35	00:05:57.364	00:05:59.298	ITS PRESENCE WILL BE...
36	00:05:59.300	00:06:00.800	PROVOCATIVE,
37	00:06:00.802	00:06:02.635	WHATEVER THE COLOR OF THE UNIFORMS.
38	00:06:05.405	00:06:08.307	IF WE'RE FORCED TO RELY ON INCOMPETENT STATE MILITIAS,
39	00:06:08.309	00:06:10.342	FOR OUR DEFENSE,
40	00:06:10.344	00:06:13.012	WE MAY AS WELL START LEARNING FRENCH NOW,
41	00:06:13.014	00:06:14.847	MR. PRESIDENT. ( chuckles ),
42	00:06:14.849	00:06:17.450	A NATIONAL ARMY BINDS THE COUNTRY,
43	00:06:17.452	00:06:19.702	MUCH AS A NATIONAL BANK DOES.
44	00:06:22.055	00:06:25.074	NOW, A TRAINING MANUAL...
45	00:06:25.076	00:06:26.709	IS ESSENTIAL.
46	00:06:26.711	00:06:29.212	HERE WE HAVE AN ILLUSTRATION,
47	00:06:29.214	00:06:31.214	FOR THE COMMAND HEAD RIGHT.
48	00:06:32.266	00:06:34.683	AT THE WORD RIGHT, THE SOLDIER 
49	00:06:34.685	00:06:36.852	TURNS HIS HEAD TO THE RIGHT BRISKLY 
50	00:06:36.854	00:06:38.754	BUT WITHOUT VIOLENCE, 
51	00:06:38.756	00:06:40.506	BRINGING HIS LEFT EYE IN LINE 
52	00:06:40.508	00:06:42.541	WITH THE BUTTONS OF HIS WAISTCOAT 
53	00:06:42.543	00:06:44.427	AND HIS RIGHT EYE LOOKING ALONG THE BREASTS 
54	00:06:44.429	00:06:46.095	OF THE SOLDIERS TO HIS RIGHT. 
55	00:06:49.299	00:06:51.967	( insects buzzing ) 
56	00:06:53.687	00:06:56.255	WHOA, BOY. WHOA. 
57	00:07:12.389	00:07:14.424	JOHN QUINCY IS ABSOLUTELY CERTAIN OF THIS? 
58	00:07:14.426	00:07:16.292	THE FRENCH ARE WILLING TO TALK PEACE? 
59	00:07:16.294	00:07:18.411	TALLEYRAND LET IT BE KNOWN THROUGH OUR DUTCH EMBASSY 
60	00:07:18.413	00:07:22.080	THAT ANOTHER ENVOY WOULD BE RESPECTFULLY RECEIVED. 
61	00:07:22.082	00:07:24.934	THE SITUATION IN FRANCE HAS CHANGED. 
62	00:07:24.936	00:07:27.002	GENERAL BONAPARTE HAS PROCLAIMED HIMSELF 
63	00:07:27.004	00:07:29.405	SOVEREIGN RULER AND DECLARED THE REVOLUTION OVER. 
64	00:07:31.942	00:07:34.893	FROM MONARCHY TO ANARCHY AND BACK TO MONARCHY. 
65	00:07:37.096	00:07:39.064	SO MUCH FOR THE OVERTHROW 
66	00:07:39.066	00:07:41.133	OF THE ANCIENT TYRANNIES OF EUROPE. 
67	00:07:41.135	00:07:43.852	BONAPARTE WILL HAVE LITTLE TIME FOR AMERICA. 
68	00:07:43.854	00:07:45.654	HE MUST CONSOLIDATE HIS POWER IN FRANCE, 
69	00:07:45.656	00:07:47.440	PURSUE THE WAR WITH BRITAIN. 
70	00:07:49.393	00:07:51.060	THIS IS THE VERY NEWS 
71	00:07:51.062	00:07:53.812	THAT I HAVE BEEN WAITING FOR. ( laughs ) 
72	00:07:54.915	00:07:57.216	DELIVERED TO ME BY MY OWN SON 
73	00:07:57.218	00:08:00.135	FROM MY OWN SON. WELL DONE. 
74	00:08:00.137	00:08:02.188	WELL DONE, SIR. 
75	00:08:02.190	00:08:04.156	LET MR. JEFFERSON CALL YOU A WARMONGER NOW. 
76	00:08:04.158	00:08:06.809	AH. AH. 
77	00:08:06.811	00:08:08.811	( laughs ) 
78	00:08:12.015	00:08:14.567	( scrubbing ) 
79	00:08:16.403	00:08:19.088	HAS THERE BEEN ANY NEWS FROM COLONEL SMITH? 
80	00:08:19.990	00:08:21.724	NOT OF LATE. 
81	00:08:27.614	00:08:30.282	NABBY, IT IS NOT GOOD FOR THE CHILDREN... YES, MOTHER? 
82	00:08:30.284	00:08:32.251	...TO BE WITHOUT THEIR FATHER FOR SO LONG. 
83	00:08:32.253	00:08:34.670	I AM RESIGNED TO THE ABSENCES OF MY HUSBAND... 
84	00:08:36.606	00:08:38.641	AS YOU ONCE WERE. 
85	00:08:40.961	00:08:43.595	NABBY, THERE IS NOTHING I CAN DO 
86	00:08:43.597	00:08:45.497	TO ALTER WHAT HAS PASSED. 
87	00:08:46.767	00:08:49.234	SHOULD THERE BE SOMETHING I COULD DO TO CORRECT 
88	00:08:49.236	00:08:50.853	HE SHALL RETURN AS SOON AS HE IS ABLE, MOTHER. 
89	00:08:52.456	00:08:55.191	I HAVE NO REASON TO DOUBT HIS PROMISE TO ME, 
90	00:08:55.193	00:08:58.060	NOR THE AFFECTION HE FEELS FOR ME AND THE CHILDREN. 
91	00:08:59.196	00:09:00.846	AS FOR THE REST OF IT, I AM MANAGING. 
92	00:09:02.332	00:09:04.300	YOU NEED NOT WORRY. BUT I DO. 
93	00:09:08.221	00:09:10.122	HOW CAN I NOT? 
94	00:09:16.279	00:09:18.581	AT THE END OF THE SUMMER, WE RETURN TO PHILADELPHIA. 
95	00:09:20.350	00:09:22.768	PERHAPS YOU AND THE CHILDREN COULD RETURN WITH US. 
96	00:09:24.471	00:09:26.104	WE ARE FINE HERE. 
97	00:09:33.430	00:09:37.183	WE REMOVE OURSELVES TO THE NEW CAPITAL A FEW MONTHS LATER. 
